Book,Author(s),Original language,First published,Approximate sales in millions,Genre,,,,,
,,,,,,Pierre Dukan,10,,,
,,,,,,Astrid Lindgren,10,,,
,,,,,,Mohandas Karamchand Gandhi,10,,,
,,,,,,Yu Dan,10,,,
,,,,,,Jung Chang,10,,,
,,,,,,Kathryn Stockett,10,,,
,,,,,,Patricia Nell Warren,10,,,
,,,,,,Helen Fielding,10,,,
,,,,,,Robert L. Short,10,,,
,,,,,,Ray Bradbury,10,,,
,,,,,,Richard Nelson Bolles,10,,,
,,,,,,Taichi Sakaiya,10,,,
,,,,,,Andrew Morton,10,,,
,,,,,,Alice Sebold,10,,,
,,,,,,Mark Manson,10,,,
,,,,,,Grand Total,5236.9,,,
